seed,winner_trial,n_trials,validation_mean_ic,validation_p,holdout_mean_ic,winner_only_promote,bonferroni_adjusted_p,full_manifest_promote
0,32,128,0.01578758395734081,0.006767778776769392,0.002406336726758622,True,0.8662756834264822,False
1,106,128,0.014134292605855307,0.006592573708983361,0.006409205984660196,True,0.8438494347498702,False
2,12,128,0.014870478126487984,0.006580895768457914,-0.004698053244389943,True,0.842354658362613,False
3,82,128,0.014381653223794503,0.01041251034863853,-0.003788462320070274,True,1.0,False
4,15,128,0.01479392966023734,0.015465233640335871,0.0015644727420812093,True,1.0,False
5,58,128,0.012308035665432418,0.024656189019523055,0.003061661462969318,True,1.0,False
6,28,128,0.01435058741280854,0.010211149360150416,-0.003903409080055978,True,1.0,False
7,9,128,0.019526233728912688,0.0005278035704272923,-0.00282112607535348,True,0.06755885701469341,False
8,40,128,0.018104184756615904,0.0019525853955375987,-0.0029847288168716895,True,0.24993093062881264,False
9,19,128,0.014407024590562124,0.009322175850951174,0.008099607713296833,True,1.0,False
10,118,128,0.017461456996509014,0.001893047681427368,-0.0029012515199945575,True,0.2423101032227031,False
11,84,128,0.01766482959005136,0.0013425475245739346,-0.008205862301417243,True,0.17184608314546362,False
12,90,128,0.017167269746803496,0.0032840784260236714,0.015630449847974348,True,0.42036203853102994,False
13,82,128,0.011509678117414674,0.02609497031740933,0.0019874817183214233,True,1.0,False
14,2,128,0.015212858050273434,0.00527009700493563,-0.00656723744598952,True,0.6745724166317606,False
15,27,128,0.014695817338743348,0.009249414932396704,-0.011923915637833703,True,1.0,False
16,102,128,0.01714464262900965,0.0017326509051948326,0.006602690207425004,True,0.22177931586493857,False
17,122,128,0.013441227859663616,0.011086552986727585,0.011709772860015082,True,1.0,False
18,19,128,0.016326017619306105,0.003405510511485139,-0.003254109689758841,True,0.4359053454700978,False
19,105,128,0.017690497672307966,0.0011441526113764203,-0.003420199108096621,True,0.1464515342561818,False
20,83,128,0.017180958267859474,0.002121987846033522,0.017308697387163268,True,0.2716144442922908,False
21,4,128,0.015571045902428717,0.00557226437734699,0.0017092409573087775,True,0.7132498403004147,False
22,93,128,0.01307453862489855,0.013803357850508357,-0.004173912915513,True,1.0,False
23,70,128,0.012548048842117214,0.02077937660331492,-0.014003818059325053,True,1.0,False
24,87,128,0.015860940184491277,0.00466633556061979,-0.011138870942536794,True,0.5972909517593331,False
25,75,128,0.012440416983942798,0.021126722128680362,0.00027994695958346357,True,1.0,False
26,110,128,0.012525787657448734,0.01968296398530841,-0.0057898355866068275,True,1.0,False
27,49,128,0.013959126947397654,0.006487726618642371,0.004290650803529377,True,0.8304290071862235,False
28,72,128,0.017130416924579856,0.0018832941453849046,-0.001818729799144537,True,0.2410616506092678,False
29,92,128,0.015464382337591806,0.0026723211518568483,0.006576914146346886,True,0.3420571074376766,False
30,36,128,0.014138237269930319,0.0075152349811849085,0.0014785773223823639,True,0.9619500775916683,False
31,39,128,0.015420020226480372,0.005678953115526982,-0.012968785958019402,True,0.7269059987874537,False
32,63,128,0.014801463994768773,0.008218383925489733,-0.011777875385342727,True,1.0,False
33,121,128,0.019459882371597965,0.00028877000740150285,-0.0019157819642182923,True,0.036962560947392364,True
34,11,128,0.013212005443792495,0.01694568269856199,0.0014612501199325581,True,1.0,False
35,2,128,0.01606007470866207,0.00287527457363475,-0.0004331345088812744,True,0.368035145425248,False
36,27,128,0.0212702690268104,0.00022473181289092006,0.0012837117143424913,True,0.028765672050037768,True
37,88,128,0.016360627037250212,0.006315405970199246,-0.00019359275974525046,True,0.8083719641855035,False
38,122,128,0.014531109096993828,0.007680961438279935,-0.0004492416146969093,True,0.9831630640998317,False
39,76,128,0.014063551736003883,0.009631359454513853,-3.857614506672928e-05,True,1.0,False
40,99,128,0.01506070923928279,0.004331319258227121,0.0013306888620472773,True,0.5544088650530715,False
41,127,128,0.013474685126427285,0.010223275069678822,-0.002823448997857712,True,1.0,False
42,0,128,0.013950423625819223,0.015134171935790306,0.01142686289544869,True,1.0,False
43,55,128,0.014286433041480232,0.006623187180572118,0.003662477257955441,True,0.8477679591132311,False
44,18,128,0.013540018495497934,0.0154782086821883,-0.0011448957794391707,True,1.0,False
45,60,128,0.013025590248275092,0.013801055141204124,0.011834451678181417,True,1.0,False
46,2,128,0.01928725389114721,0.000153978389772647,-0.00928988219826133,True,0.019709233890898816,True
47,32,128,0.013274778609271549,0.015016923057770287,0.004023159258539074,True,1.0,False
48,111,128,0.016145440349150626,0.0028378556838273136,-0.0031632042577983254,True,0.36324552752989614,False
49,78,128,0.014491612359591276,0.008940883041988841,0.004823684931288573,True,1.0,False
